disputeId,razorpayId,reasonCode,amount,currency,deliveryStatus,priorRefundCount,ipMatch,billingAddressMatch,logAmount,hasPriorRefund,groundTruthDefensible
faabbd73-1e7a-402d-a313-43b54492041a,disp_DEMOCE3QUALIFIES01,unauthorized_transaction,149900,INR,delivered,0,true,true,11.917730355182513,false,true
b364cf3e-2d6d-4998-8d01-6f0e090c4b2b,disp_DEMOFLAGGEDCASE01,goods_not_received,149900,INR,not_delivered,0,true,true,11.917730355182513,false,true
ba938c13-966a-4d82-9b50-dbd94e1683d9,disp_b12xalXQP2qUqu,goods_not_received,999900,USD,delivered,0,false,false,13.81541155306345,false,true
ff604cec-45ad-456d-a678-0c8c4c58289d,disp_OnMlpoUcR6NuLx,product_not_as_described,49900,INR,delivery_unconfirmed,3,true,true,10.817796321618971,true,false
8c6ba8c4-8486-44a1-87d2-d200feb85e0a,disp_RaFjfrQeN0Uxkh,goods_not_received,249900,INR,in_transit,0,true,true,12.428820118415677,false,true
4a15f98a-9193-405a-bccc-ab73be3fda6d,disp_vvPwmZRr0KU3Zy,duplicate_charge,49900,USD,delivery_unconfirmed,0,true,true,10.817796321618971,false,true
a2c136bb-3a4f-4131-907b-ccbc43ddb170,disp_PY0CTrqXhDMRyh,unauthorized_transaction,249900,INR,delivery_unconfirmed,0,false,false,12.428820118415677,false,false
a2b65537-1a84-439e-942e-a0acc359f92b,disp_BymtsMyYVVWlKx,unauthorized_transaction,99900,INR,delivery_unconfirmed,1,false,true,11.511934974596555,true,false
4a9366da-4d89-461f-b164-6024c56dcabb,disp_5cPemR9FXDZEIW,duplicate_charge,49900,INR,delivery_unconfirmed,3,false,false,10.817796321618971,true,true
a9cec09b-ad58-4a18-8c37-a7d0909c165f,disp_q6dSy7wX63PwjE,product_not_as_described,49900,INR,in_transit,2,true,true,10.817796321618971,true,false
335fd265-d90b-4765-b5d0-58c6ad8a2309,disp_d2z5l37CCOJuo0,unauthorized_transaction,99900,INR,not_delivered,1,true,true,11.511934974596555,true,false
c88cef9d-0683-4021-b722-efa9c4a9d19a,disp_AAl9uzN3URNkgF,goods_not_received,49900,INR,not_delivered,0,false,true,10.817796321618971,false,true
22346a55-c19d-4631-bd6e-409c99103fe8,disp_8mGEJvt54jqSke,unauthorized_transaction,49900,INR,not_delivered,2,true,true,10.817796321618971,true,false
e26b21e2-a6fd-4e75-912e-7362213ae07a,disp_vgSbQakusqKs6k,duplicate_charge,499900,INR,delivery_unconfirmed,1,false,true,13.12216535779974,true,true
